date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:52	55864/55864	---M--	200	added ('OK')	text/html	etag:%22753d608299698bd18fc04defcbb27139%22	https://www.docsapp.in/	D:/DOC/docsAutomate/automate/www.docsapp.in/index.html	(from )
02:23:52	998/998	---M--	200	added ('OK')	text/plain	etag:%223e6-5979d996d615a%22	https://www.docsapp.in/robots.txt		(from )
02:23:52	37/37	---M--	200	added ('OK')	application/json	etag:%2225-53a58456eb8ab%22	https://www.docsapp.in/manifest.json	D:/DOC/docsAutomate/automate/www.docsapp.in/manifest.json	(from https://www.docsapp.in/)
02:23:52	25644/25644	---M--	200	added ('OK')	image/jpeg	etag:%224f36200313719b38c4dffcd3f411d69c%22	https://www.docsapp.in/assets/images/newDesign/docsapp-fav-logo.jpeg	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/images/newDesign/docsapp-fav-logo.jpg	(from https://www.docsapp.in/)
02:23:54	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	D:/DOC/docsAutomate/automate/code.jquery.com/jquery-3.3.1.min.js	(from https://www.docsapp.in/)
02:23:55	141522/141522	---M-Z	200	added ('OK')	text/css	etag:%225eb03efe-228d2%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/css/materialize.min.css	D:/DOC/docsAutomate/automate/cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/css/materialize.min.css	(from https://www.docsapp.in/)
02:23:55	166221/166221	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03efe-2894d%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/js/materialize.min.js	D:/DOC/docsAutomate/automate/cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/js/materialize.min.js	(from https://www.docsapp.in/)
02:23:55	13273/13273	---M--	200	added ('OK')	text/css	etag:%22f62574933fef245742ad538831387232%22	https://www.docsapp.in/assets/css/stylev3.css	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/css/stylev3.css	(from https://www.docsapp.in/)
02:23:55	5564/5564	---M--	200	added ('OK')	text/css	etag:%22f7621b1ebbc3f72b69aec8a09be9e55e%22	https://www.docsapp.in/assets/css/stylev2.css	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/css/stylev2.css	(from https://www.docsapp.in/)
02:23:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2008%20Dec%202022%2020:53:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/DOC/docsAutomate/automate/www.googletagmanager.com/gtm.75445.delayed	(from https://www.docsapp.in/)
02:23:56	78948/78948	---M--	200	added ('OK')	image/gif	etag:%220821ab36df6896ece54e8d2f629fb85c%22	https://www.docsapp.in/assets/images/favicon.gif	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/images/favicon.gif	(from https://www.docsapp.in/)
02:23:56	27490/27490	---M--	200	added ('OK')	image/svg+xml	etag:%227ce6d9d968a64f9c38603a27d8423920%22	https://www.docsapp.in/assets/images/newDesign/Logo_da.svg	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/images/newDesign/Logo_da.svg	(from https://www.docsapp.in/)
02:23:56	3924/3924	---M--	200	added ('OK')	image/svg+xml	etag:%228b2e597869a37764ab74a89d296517ad%22	https://www.docsapp.in/assets/images/newDesign/noun_menu.svg	D:/DOC/docsAutomate/automate/www.docsapp.in/assets/images/newDesign/noun_menu.svg	(from https://www.docsapp.in/)
